Default Monster Data					Stats								Movement and Combat					Attack 1			Attack 2			    Spell Attack		    Spell Attack 2		Resistances										Misc
#	Name	Picture	LVL	 HP 	AC	 EXP 	Treasure	Blood	Fly	Move	AI Type	Hst	Spd	Rec	Pref	Bonus	Type	Damage	Miss	Att%	Type	Damage	Miss	Use%	Spl,Mas,Skil	Use%	Spl,Mas,Skil	Fire	Air	Water	Earth	Mind	Spirit	Body	Light	Dark	Phys	Special
																																						
	A		0																																			
1	Lizardman Peasant	Lizardmen Male (Peasant) A	4	13	0	5	1d3	1	N	Short	Wimp	4	200	100	0	0	Phys	3D4+2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	Lizardman Farmer	Lizardmen Male (Peasant) B	6	21	0	5	1d3	1	N	Short	Wimp	4	215	90	0	0	Phys	3D4+4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	Lizardman Villager	Lizardmen Male (Peasant) C	8	30	0	5	1d3	1	N	Short	Wimp	4	230	80	0	0	Phys	3D4+6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	Lizardman Soldier	Lizardmen Warrior A	4	13	0	56	1d6	1	N	Med	Normal	2	155	100	0	0	Phys	3D4	0	10	Phys	4D2	Arrow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	Lizardman Sergeant	Lizardmen Warrior B	6	21	0	96	1d6	1	N	Med	Normal	2	175	90	0	0	Phys	3D4+2	0	15	Phys	4D2+1	Arrow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	Lizardman Captain	Lizardmen Warrior C	8	30	0	144	1d6	1	N	Short	Aggress	2	195	80	0	0	Phys	3D4+4	0	25	Phys	4D2+4	Arrow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	Young Couatl	Couatl (winged snake) A	1	3	0	11	5%2d5+L1GEM	0	N	Free	Aggress	3	225	80	0	Poison3x1	Phys	3D2	0	10	Fire	3D2	Fire	0	0	0	0	0	0	5	0	0	0	0	0	0	5	0
8	Couatl	Couatl (winged snake) B	2	6	0	24	10%2d5+L1GEM	0	N	Free	Aggress	3	245	70	0	Poison3x2	Phys	3D2+3	0	10	Water	3D2+3	Water	0	0	0	0	0	0	5	0	0	0	0	0	0	5	0
